,Language,Step,Task,Accuracy,Tokens,Accuracy (normalized),N
115,ja,0,dev_LAS,68.5333,0,0.0,0
59,ja,30,dev_LAS,75.3755,1M,0.3563,1
31,ja,300,dev_LAS,87.7341,10M,1.0,2
10,ja,3050,dev_LAS,85.9262,100M,0.9058,3
3,ja,31250,dev_LAS,87.4281,1B,0.9841,4
112,ja,0,dev_Lemmas,94.6968,0,0.0,0
56,ja,30,dev_Lemmas,95.4014,1M,0.2957,1
28,ja,300,dev_Lemmas,96.4955,10M,0.7549,2
7,ja,3050,dev_Lemmas,96.959,100M,0.9494,3
0,ja,31250,dev_Lemmas,97.0795,1B,1.0,4
117,ja,0,dev_MLAS,48.3971,0,0.0,0
61,ja,30,dev_MLAS,57.0321,1M,0.2909,1
33,ja,300,dev_MLAS,75.991,10M,0.9297,2
12,ja,3050,dev_MLAS,74.9397,100M,0.8943,3
5,ja,31250,dev_MLAS,78.0765,1B,1.0,4
114,ja,0,dev_UAS,71.7319,0,0.0,0
58,ja,30,dev_UAS,78.3145,1M,0.3575,1
30,ja,300,dev_UAS,90.1446,10M,1.0,2
9,ja,3050,dev_UAS,88.3182,100M,0.9008,3
2,ja,31250,dev_UAS,89.5235,1B,0.9663,4
113,ja,0,dev_UPOS,91.8135,0,0.0,0
57,ja,30,dev_UPOS,93.0002,1M,0.1939,1
29,ja,300,dev_UPOS,95.8094,10M,0.653,2
8,ja,3050,dev_UPOS,97.5153,100M,0.9318,3
1,ja,31250,dev_UPOS,97.9325,1B,1.0,4
482,ko,0,dev_BLEX,58.1116,0,0.0,0
454,ko,30,dev_BLEX,59.9042,1M,0.1131,1
384,ko,300,dev_BLEX,68.0325,10M,0.6257,2
174,ko,3050,dev_BLEX,71.7403,100M,0.8596,3
104,ko,31250,dev_BLEX,73.9673,1B,1.0,4
480,ko,0,dev_CLAS,68.0102,0,0.0,0
452,ko,30,dev_CLAS,69.4132,1M,0.0944,1
382,ko,300,dev_CLAS,77.1629,10M,0.6157,2
172,ko,3050,dev_CLAS,81.0043,100M,0.8742,3
102,ko,31250,dev_CLAS,82.875,1B,1.0,4
479,ko,0,dev_LAS,70.8705,0,0.0,0
451,ko,30,dev_LAS,72.2656,1M,0.1051,1
381,ko,300,dev_LAS,79.1109,10M,0.6209,2
171,ko,3050,dev_LAS,82.3103,100M,0.8619,3
101,ko,31250,dev_LAS,84.1425,1B,1.0,4
476,ko,0,dev_Lemmas,84.747,0,0.0,0
448,ko,30,dev_Lemmas,85.984,1M,0.2472,1
378,ko,300,dev_Lemmas,88.4673,10M,0.7435,2
168,ko,3050,dev_Lemmas,89.0811,100M,0.8662,3
98,ko,31250,dev_Lemmas,89.7507,1B,1.0,4
481,ko,0,dev_MLAS,63.8236,0,0.0,0
453,ko,30,dev_MLAS,65.0818,1M,0.0772,1
383,ko,300,dev_MLAS,74.2456,10M,0.6398,2
173,ko,3050,dev_MLAS,77.7753,100M,0.8565,3
103,ko,31250,dev_MLAS,80.1136,1B,1.0,4
478,ko,0,dev_UAS,75.5301,0,0.0,0
450,ko,30,dev_UAS,76.7857,1M,0.1077,1
380,ko,300,dev_UAS,82.7195,10M,0.6169,2
170,ko,3050,dev_UAS,85.705,100M,0.8731,3
100,ko,31250,dev_UAS,87.1838,1B,1.0,4
477,ko,0,dev_UPOS,90.4576,0,0.0,0
449,ko,30,dev_UPOS,91.0342,1M,0.101,1
379,ko,300,dev_UPOS,94.9312,10M,0.7834,2
169,ko,3050,dev_UPOS,95.7589,100M,0.9283,3
99,ko,31250,dev_UPOS,96.1682,1B,1.0,4
489,ru,0,dev_BLEX,23.6076,0,0.0,0
419,ru,30,dev_BLEX,27.6407,1M,0.0816,1
349,ru,300,dev_BLEX,57.719,10M,0.6903,2
111,ru,3050,dev_BLEX,69.1239,100M,0.9211,3
48,ru,31250,dev_BLEX,73.0241,1B,1.0,4
487,ru,0,dev_CLAS,35.4262,0,0.0,0
417,ru,30,dev_CLAS,39.9616,1M,0.0952,1
347,ru,300,dev_CLAS,71.6945,10M,0.7612,2
109,ru,3050,dev_CLAS,81.8437,100M,0.9743,3
46,ru,31250,dev_CLAS,83.0699,1B,1.0,4
486,ru,0,dev_LAS,41.4793,0,0.0,0
416,ru,30,dev_LAS,46.1058,1M,0.1069,1
346,ru,300,dev_LAS,75.0396,10M,0.7751,2
108,ru,3050,dev_LAS,83.7515,100M,0.9763,3
45,ru,31250,dev_LAS,84.7775,1B,1.0,4
483,ru,0,dev_Lemmas,69.6484,0,0.0,0
413,ru,30,dev_Lemmas,71.5512,1M,0.0869,1
343,ru,300,dev_Lemmas,85.6916,10M,0.7325,2
105,ru,3050,dev_Lemmas,89.2174,100M,0.8935,3
42,ru,31250,dev_Lemmas,91.5493,1B,1.0,4
488,ru,0,dev_MLAS,15.7039,0,0.0,0
418,ru,30,dev_MLAS,19.6779,1M,0.0723,1
348,ru,300,dev_MLAS,51.3074,10M,0.6478,2
110,ru,3050,dev_MLAS,66.2727,100M,0.9202,3
47,ru,31250,dev_MLAS,70.6604,1B,1.0,4
485,ru,0,dev_UAS,49.2585,0,0.0,0
415,ru,30,dev_UAS,53.5305,1M,0.1103,1
345,ru,300,dev_UAS,79.8246,10M,0.7891,2
107,ru,3050,dev_UAS,87.3146,100M,0.9824,3
44,ru,31250,dev_UAS,87.9955,1B,1.0,4
484,ru,0,dev_UPOS,80.5988,0,0.0,0
414,ru,30,dev_UPOS,82.4363,1M,0.1061,1
344,ru,300,dev_UPOS,95.9052,10M,0.8842,2
106,ru,3050,dev_UPOS,97.5655,100M,0.9801,3
43,ru,31250,dev_UPOS,97.9106,1B,1.0,4
496,tr,0,dev_BLEX,26.875,0,0.0,0
412,tr,30,dev_BLEX,28.701,1M,0.0572,1
342,tr,300,dev_BLEX,46.7892,10M,0.6243,2
125,tr,3050,dev_BLEX,55.8211,100M,0.9074,3
55,tr,31250,dev_BLEX,58.7745,1B,1.0,4
494,tr,0,dev_CLAS,43.6642,0,0.0,0
410,tr,30,dev_CLAS,45.6373,1M,0.0681,1
340,tr,300,dev_CLAS,61.924,10M,0.63,2
123,tr,3050,dev_CLAS,70.9559,100M,0.9416,3
53,tr,31250,dev_CLAS,72.6471,1B,1.0,4
493,tr,0,dev_LAS,52.4496,0,0.0,0
409,tr,30,dev_LAS,54.0857,1M,0.0717,1
339,tr,300,dev_LAS,66.9239,10M,0.634,2
122,tr,3050,dev_LAS,73.9333,100M,0.941,3
52,tr,31250,dev_LAS,75.2812,1B,1.0,4
490,tr,0,dev_Lemmas,66.4405,0,0.0,0
406,tr,30,dev_Lemmas,68.058,1M,0.0839,1
336,tr,300,dev_Lemmas,80.9333,10M,0.7513,2
119,tr,3050,dev_Lemmas,83.9453,100M,0.9075,3
49,tr,31250,dev_Lemmas,85.7302,1B,1.0,4
495,tr,0,dev_MLAS,28.0515,0,0.0,0
411,tr,30,dev_MLAS,30.5025,1M,0.0774,1
341,tr,300,dev_MLAS,48.848,10M,0.6565,2
124,tr,3050,dev_MLAS,57.4755,100M,0.9288,3
54,tr,31250,dev_MLAS,59.7304,1B,1.0,4
492,tr,0,dev_UAS,74.0262,0,0.0,0
408,tr,30,dev_UAS,75.0023,1M,0.0678,1
338,tr,300,dev_UAS,82.7461,10M,0.6059,2
121,tr,3050,dev_UAS,87.2362,100M,0.918,3
51,tr,31250,dev_UAS,88.4168,1B,1.0,4
491,tr,0,dev_UPOS,81.4818,0,0.0,0
407,tr,30,dev_UPOS,82.4765,1M,0.0998,1
337,tr,300,dev_UPOS,89.7369,10M,0.8284,2
120,tr,3050,dev_UPOS,91.3917,100M,0.9944,3
50,tr,31250,dev_UPOS,91.4474,1B,1.0,4
524,vi,0,dev_BLEX,36.4529,0,0.0,0
468,vi,30,dev_BLEX,39.8911,1M,0.1484,1
391,vi,300,dev_BLEX,51.1881,10M,0.6361,2
216,vi,3050,dev_BLEX,56.8963,100M,0.8825,3
167,vi,31250,dev_BLEX,59.6177,1B,1.0,4
522,vi,0,dev_CLAS,37.2229,0,0.0,0
466,vi,30,dev_CLAS,40.5682,1M,0.1452,1
389,vi,300,dev_CLAS,51.8784,10M,0.6359,2
214,vi,3050,dev_CLAS,57.5335,100M,0.8813,3
165,vi,31250,dev_CLAS,60.2682,1B,1.0,4
521,vi,0,dev_LAS,41.7015,0,0.0,0
465,vi,30,dev_LAS,45.3185,1M,0.1666,1
388,vi,300,dev_LAS,55.7973,10M,0.6493,2
213,vi,3050,dev_LAS,60.7531,100M,0.8775,3
164,vi,31250,dev_LAS,63.4124,1B,1.0,4
518,vi,0,dev_Lemmas,98.066,0,0.0,0
462,vi,30,dev_Lemmas,98.0753,1M,0.0086,1
385,vi,300,dev_Lemmas,98.9493,10M,0.819,2
210,vi,3050,dev_Lemmas,99.0981,100M,0.9569,3
161,vi,31250,dev_Lemmas,99.1446,1B,1.0,4
523,vi,0,dev_MLAS,31.1164,0,0.0,0
467,vi,30,dev_MLAS,34.2095,1M,0.1389,1
390,vi,300,dev_MLAS,44.8692,10M,0.6178,2
215,vi,3050,dev_MLAS,50.3252,100M,0.8629,3
